trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.002, 'e': 0.7572968215143355}",20,0,-105.79729173534139,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
141,False,"{'a': 0.002, 'e': 0.7557837414557255}",25,0,-72.53745766890067,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
142,False,"{'a': 0.002, 'e': 0.754273684533089}",25,0,-163.84061578613978,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
143,False,"{'a': 0.002, 'e': 0.7527666447061963}",25,4,-75.74349092574343,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 1}",1
144,False,"{'a': 0.002, 'e': 0.751262615946886}",25,4,-100.54904215654834,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 2}",1
145,False,"{'a': 0.002, 'e': 0.7497615922390413}",30,0,-133.6552134594661,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
146,False,"{'a': 0.002, 'e': 0.7482635675785653}",20,0,-105.5421346185424,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
147,False,"{'a': 0.002, 'e': 0.7467685359733571}",25,0,-165.1909696190155,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
148,False,"{'a': 0.002, 'e': 0.7452764914432887}",20,6,-162.60399684805816,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 3}",1
149,False,"{'a': 0.002, 'e': 0.7437874280201796}",20,0,-106.88731170308036,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
150,False,"{'a': 0.002, 'e': 0.7423013397477743}",30,23,-31.278675165444437,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.002, 'e': 0.7408182206817179}",25,0,-122.07367225595573,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
152,False,"{'a': 0.002, 'e': 0.7393380648895319}",25,17,-8.05581312539362,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.002, 'e': 0.7378608664505911}",30,0,-43.129710726571254,"{0: 24, 1: 3, 2: 1, 3: 2, 4: 0}",0
154,False,"{'a': 0.002, 'e': 0.7363866194561001}",20,0,-250.19780138769795,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 4}",0
155,False,"{'a': 0.002, 'e': 0.7349153180090687}",20,0,-64.46528526881795,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
156,False,"{'a': 0.002, 'e': 0.7334469562242892}",25,9,-21.142450691854403,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
157,False,"{'a': 0.002, 'e': 0.7319815282283126}",25,12,-42.488555644071766,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.002, 'e': 0.7305190281594249}",20,0,-51.677457685543274,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
159,False,"{'a': 0.002, 'e': 0.7290594501676237}",25,0,-122.10736448214472,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
160,False,"{'a': 0.002, 'e': 0.7276027884145955}",20,0,-48.40216182363797,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
161,False,"{'a': 0.002, 'e': 0.7261490370736909}",25,2,-76.1398030339372,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 1}",1
162,False,"{'a': 0.002, 'e': 0.7246981903299029}",30,0,-60.36139216404828,"{0: 23, 1: 2, 2: 2, 3: 3, 4: 0}",0
163,False,"{'a': 0.002, 'e': 0.7232502423798424}",25,0,-111.25194585390341,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",0
164,False,"{'a': 0.002, 'e': 0.7218051874317158}",20,0,-89.10807101254629,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
165,False,"{'a': 0.002, 'e': 0.7203630197053014}",20,0,-69.95772790851343,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
166,False,"{'a': 0.002, 'e': 0.7189237334319262}",20,8,-50.765140353854854,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
167,False,"{'a': 0.002, 'e': 0.7174873228544433}",25,0,-100.55239958421224,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
168,False,"{'a': 0.002, 'e': 0.7160537822272085}",20,0,-66.65765424150389,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
169,False,"{'a': 0.002, 'e': 0.7146231058160573}",25,0,-59.553122687533616,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
170,False,"{'a': 0.002, 'e': 0.7131952878982822}",20,0,-36.32599062583304,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
171,False,"{'a': 0.002, 'e': 0.7117703227626097}",25,0,-77.9054739287638,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
172,False,"{'a': 0.002, 'e': 0.7103482047091773}",25,0,-62.783203138367185,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
173,False,"{'a': 0.002, 'e': 0.7089289280495107}",20,0,-44.466255835074044,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
174,False,"{'a': 0.002, 'e': 0.7075124871065017}",30,0,-118.4490699707592,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
175,False,"{'a': 0.002, 'e': 0.7060988762143844}",20,0,-94.81798328241861,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
176,False,"{'a': 0.002, 'e': 0.7046880897187134}",25,0,-98.30776808493108,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
177,False,"{'a': 0.002, 'e': 0.7032801219763409}",25,0,-51.90221065724863,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
178,False,"{'a': 0.002, 'e': 0.701874967355394}",20,0,-37.72975405277316,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
179,False,"{'a': 0.002, 'e': 0.7004726202352524}",35,12,-23.956891631459584,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 0}",1
180,False,"{'a': 0.002, 'e': 0.6990730750065257}",25,0,-76.28599170145267,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
181,False,"{'a': 0.002, 'e': 0.697676326071031}",25,0,-67.49346110146298,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
